case_id,geometry,particle_count,coordinates_xyz,ka,f0,f1,minimum_distance_over_radius,lmax,full_modes_per_particle,active_modes_per_particle,system_residual,condition_number,scattered_condition_number,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,production_solver,decomposition_residual,used_planar_symmetry,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,6,49,21,7.6989407152887376e-11,610318175297.21204,610318175487.48474,1.0675109195255483,2.7021309878615616e-17,1.6843315122961694e-23,8.7725106033126105e-17,balanced_sqrt,0,true,0.25219284448729601,0.00020461144190779177,5.1601541549373131e-05,true,9,0.25219284448729601,0.00020461144190779177,5.1601541549373131e-05,true,9,0.2434275246960097,3.1660246033181497e-05,7.7069753231240323e-06,true,8,0.00876531979128632,0.0050077541118234165,4.3894566226261242e-05,true,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,7,64,28,2.2833563573839174e-09,1777475430592726.8,1777475752027444.2,1.0675343978703307,2.2711695666820527e-17,5.9622757323449754e-25,8.8561586274864244e-17,balanced_sqrt,0,true,0.2522023302581638,3.7611749495255643e-05,9.485770867789789e-06,true,9,0.2522023302581638,3.7611749495255643e-05,9.485770867789789e-06,true,9,0.24342884913865712,5.4407793164289684e-06,1.3244426474157134e-06,true,8,0.008773481119506682,0.00093022690870279816,8.1613282203610651e-06,true,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,8,81,36,2.1796655225576295e-07,6.5373082825822915e+18,6.5374209319074796e+18,1.0675391075962963,1.5734354028278102e-17,5.9502278278042414e-27,1.1282583087034899e-16,balanced_sqrt,0,true,0.25220396185034161,6.4693360319887348e-06,1.6315921778087272e-06,true,9,0.25220396185034161,6.4693360319887348e-06,1.6315921778087272e-06,true,9,0.2434290652512297,8.8778458876482193e-07,2.1611257258746797e-07,true,8,0.0087748965991119032,0.00016131011792952475,1.4154796052221266e-06,true,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,9,100,45,1.4222070096559327e-05,2.960909374879525e+22,2.965095376536782e+22,1.0675400175498739,2.6613501413333577e-17,9.4363271458299147e-29,1.1432120749263256e-16,balanced_sqrt,0,true,0.25220422904642714,1.0594433193009869e-06,2.6719608556269314e-07,true,9,0.25220422904642714,1.0594433193009869e-06,2.6719608556269314e-07,true,9,0.24342909913751545,1.3920392378548075e-07,3.388628576350694e-08,true,8,0.0087751299089117024,2.6587617758582995e-05,2.3330979980005356e-07,true,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,2,9,3,1.633786174326779e-16,1.8005752546163567,1.8005752546163565,1.068742170043385,3.379030580505965e-17,1.3965978145609585e-17,9.7873562227270485e-17,balanced_sqrt,0,true,0.28257698636560991,0,0,false,9,0.28257698636560991,0,0,false,9,0.27375503305439758,0,0,false,8,0.0088219533112123306,0,0,false,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,3,16,6,2.4820723611801183e-15,197.5479410595056,197.54794105950552,1.0746382343404826,2.3504975485025908e-17,1.4653743861050805e-18,1.3358084371989696e-16,balanced_sqrt,0,true,0.2872987748709469,0.016435115351459407,0.0047217885053369799,true,9,0.2872987748709469,0.016435115351459407,0.0047217885053369799,true,9,0.27496429531225047,0.0043978883021144333,0.0012092622578528849,true,8,0.012334479558696423,0.28477295947258568,0.0035125262474840929,true,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,4,25,10,6.0736283118008601e-14,212320.08157152004,212320.08157121422,1.0760745797796478,1.2039886000750009e-17,1.3596129853747501e-20,1.1768507008665284e-16,balanced_sqrt,0,true,0.28828190793296288,0.0034103182855463655,0.00098313306201597717,true,9,0.28828190793296288,0.0034103182855463655,0.00098313306201597717,true,9,0.27519855187616515,0.00085122745856611843,0.00023425656391462416,true,8,0.01308335605679777,0.057238868593830719,0.00074887649810134683,true,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,5,36,15,2.0306261130615203e-12,346403651.80355185,346403651.7944364,1.0764109459165176,1.8878589749912875e-17,5.1398188367593511e-22,9.2271666068875849e-17,balanced_sqrt,0,true,0.28846274547330586,0.00062690085004301537,0.00018083754034295743,true,9,0.28846274547330586,0.00062690085004301537,0.00018083754034295743,true,9,0.27522846809827151,0.00010869595835448166,2.9916222106377503e-05,true,8,0.013234277375034362,0.011403820092307875,0.00015092131823659239,true,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,6,49,21,1.0296800744125857e-10,786296918128.82751,786296916694.38647,1.0764872113498352,1.9452152844926508e-17,3.2101832353842519e-24,1.2982912960852937e-16,balanced_sqrt,0,true,0.28850274078050764,0.00013863059703898197,3.9995307201784423e-05,true,9,0.28850274078050764,0.00013863059703898197,3.9995307201784423e-05,true,9,0.27523458423268166,2.2221533050463496e-05,6.1161344101571143e-06,true,8,0.013268156547825994,0.0025534197361563923,3.3879172791631561e-05,true,0
trimer_equilateral,equilateral_trimer,3,-1.5:-0.86602540378443871:0;1.5:-0.86602540378443871:0;0:1.7320508075688774:0,0.10000000000000001,0,0.80000000000000004,3,7,64,28,6.2284278696692882e-09,2467082680353332.5,2467082519046867,1.0765032352461694,1.3240636358305704e-17,3.2937570374851319e-25,1.3288394875941913e-16,balanced_sqrt,0,true,0.28851121272587815,2.9364353955160163e-05,8.4719453705151953e-06,true,9,0.28851121272587815,2.9364353955160163e-05,8.4719453705151953e-06,true,9,0.27523577363059826,4.3213783621343232e-06,1.189397916652568e-06,true,8,0.013275439095279859,0.0005485730002296054,7.2825474538630709e-06,true,0
