case_id,particle_index,x,y,z,a_x,a_y,b_l_x,b_l_y,d_x,d_y,collective_x,collective_y
n10_compact_f0.8_d4.0,8,2.0000000000000009,3.4641016151377548,0,-0.07847548525137997,-0.056990555855680899,-0.079169266155092163,-0.057406941447446604,-0.081455582828239614,-0.060004469277687274,-0.002286316673147451,-0.0025975278302406701
n10_compact_f0.8_d4.0,9,0,6.9282032302755105,0,1.0408340855860843e-17,-0.098946307175700687,1.3877787807814457e-17,-0.099754836453487705,2.7304745382156797e-17,-0.10241009648416059,1.3426957574342341e-17,-0.0026552600306728874
n10_compact_f0.8_d6.0,0,-9.0000000000000018,-5.196152422706632,0,0.01792204656166042,0.010347298406803648,0.017960694207917981,0.010369611635774004,0.018116540755332262,0.010459589681875908,0.00015584654741428172,8.9978046101904519e-05
n10_compact_f0.8_d6.0,1,-3,-5.196152422706632,0,0.0022903192154621636,0.020019056095166982,0.0022913274925335232,0.020063704016207398,0.0023703136387655368,0.020272808787518089,7.8986146232013551e-05,0.00020910477131069055
n10_compact_f0.8_d6.0,2,3.0000000000000013,-5.196152422706632,0,-0.0022903192154621619,0.020019056095166972,-0.0022913274925335197,0.020063704016207398,-0.0023703136387655311,0.020272808787518082,-7.8986146232011382e-05,0.00020910477131068361
n10_compact_f0.8_d6.0,3,9.0000000000000018,-5.196152422706632,0,-0.01792204656166043,0.010347298406803656,-0.017960694207917988,0.010369611635774004,-0.018116540755332262,0.010459589681875905,-0.00015584654741427478,8.9978046101901049e-05
n10_compact_f0.8_d6.0,4,-6,0,0,0.018482170745931396,-0.0080260534242176038,0.018521341118314234,-0.0080475041911799682,0.018741924235437819,-0.0080836525676513567,0.00022058311712358503,-3.6148376471388521e-05
n10_compact_f0.8_d6.0,5,0,0,0,-6.9388939039072284e-18,-4.3368086899420177e-19,-8.6736173798840355e-19,-1.5178830414797062e-18,-1.213668986764453e-17,-1.3652372691078399e-17,-1.1269328129656127e-17,-1.2134489649598692e-17
n10_compact_f0.8_d6.0,6,6.0000000000000018,0,0,-0.018482170745931385,-0.0080260534242176124,-0.01852134111831423,-0.0080475041911799664,-0.018741924235437843,-0.0080836525676513619,-0.00022058311712361278,-3.614837647139546e-05
n10_compact_f0.8_d6.0,7,-3,5.196152422706632,0,0.016191851530469224,-0.011993002670949373,0.016230013625780706,-0.012016199825027434,0.016371610596672269,-0.012189156219866739,0.00014159697089156237,-0.0001729563948393055
n10_compact_f0.8_d6.0,8,3.0000000000000013,5.196152422706632,0,-0.016191851530469224,-0.01199300267094937,-0.016230013625780706,-0.012016199825027439,-0.016371610596672283,-0.012189156219866742,-0.00014159697089157625,-0.00017295639483930376
n10_compact_f0.8_d6.0,9,0,10.392304845413266,0,-1.7347234759768071e-18,-0.020694596813607295,-2.6020852139652106e-18,-0.020739223271547993,2.1556377933281682e-18,-0.020919179363751792,4.7577230072933789e-18,-0.00017995609220379863
n10_compact_f0.8_d10.0,0,-15.000000000000002,-8.6602540378443873,0,0.0027498256252125432,0.0015876125649409928,0.0027511478221200021,0.0015883759356814357,0.0027569599010941058,0.0015917315410416851,5.8120789741037369e-06,3.3556053602493661e-06
n10_compact_f0.8_d10.0,1,-5,-8.6602540378443873,0,0.00043113329551270078,0.0030412137392299529,0.00043116633197391616,0.0030427520164152707,0.00043448787525797179,0.0030504112369740925,3.3215432840556325e-06,7.6592205588217784e-06
n10_compact_f0.8_d10.0,2,5.0000000000000018,-8.6602540378443873,0,-0.00043113329551269807,0.0030412137392299516,-0.00043116633197391464,0.0030427520164152694,-0.00043448787525797119,0.0030504112369740921,-3.321543284056554e-06,7.6592205588226457e-06
n10_compact_f0.8_d10.0,3,15.000000000000002,-8.6602540378443873,0,-0.0027498256252125458,0.0015876125649409946,-0.0027511478221200038,0.001588375935681437,-0.0027569599010941071,0.0015917315410416866,-5.8120789741033033e-06,3.355605360249583e-06
