case_id,split,particle_count,family,radius,k,ka,energy_density,f0,f1,distance_ratio,pair_count,reference_lmax,maximum_allowed_lmax,total_converged,matched_pairwise_converged,collective_residual_converged,joint_converged,collective_residual_resolved,metric_applicable,eta,lambda_max,rho_l1,rms_a,rms_matched_pairwise,rms_d,epsilon_a,epsilon_b,y_two_body,y_collective,y_multipolar,delta_d_penultimate,delta_d_last,delta_b_penultimate,delta_b_last,delta_r_penultimate,delta_r_last,collective_uncertainty,identity_max_abs_error,maximum_physical_residual,maximum_balanced_condition,maximum_raw_condition
n6_linear_f0.4_d2.1,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,2.1000000000000001,15,11,11,true,true,true,true,true,true,0.043191879926573799,0.098781429091330794,0.044777447560435092,0.098006953324403498,0.10533103067949215,0.10690977962475308,0.083435369033531104,0.018057081074395912,0.06867595664841028,0.018057081074395912,0.038830980025659316,0.00018413778237767186,2.5450136608361157e-05,0.00025310766774316624,3.4346726046522795e-05,0.00013765765079601326,1.6896520017350614e-05,0.00013765765079601326,0,8.1542162183519423e-16,1.2407665744988754,4.8973214449354043e+34
n6_linear_f0.4_d2.5,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,2.5,15,9,11,true,true,true,true,true,true,0.025600000000000008,0.058548148148148169,0.026854737378219692,0.049015277639150756,0.050429529063873726,0.05096827206141212,0.038731170800987501,0.013101207536818328,0.027818112440109979,0.013101207536818328,0.011483089962281626,9.8420634656925154e-05,5.7067808541315564e-06,0.0001369863203144664,7.896539965842086e-06,0.00011318999170397766,6.7106037098618505e-06,0.00011318999170397766,0,7.6749724694313919e-16,1.0712396181773509,2.4553630605167773e+24
n6_linear_f0.4_d3.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,3,15,7,11,true,true,true,true,true,true,0.014814814814814812,0.033882030178326472,0.015803932444628004,0.023800684509687673,0.024105529551333795,0.024281974171853977,0.020326453055049855,0.0090814912353118487,0.012586884850444189,0.0090814912353118487,0.0039879224157778987,0.00024072269114603118,8.7219357866596433e-06,0.00032083529929642944,1.1388413340369856e-05,0.00030562509512712841,1.1374930814365943e-05,0.00030562509512712841,0,6.596834549052134e-16,1.0340350331022159,893848525847168.88
n6_linear_f0.4_d4.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,4,15,7,11,true,true,true,true,true,true,0.0062500000000000003,0.014293981481481484,0.0069300492665554641,0.0076672061897451165,0.0077002957831087482,0.0077295839061557736,0.0084668760528355032,0.0047641979535162967,0.0042927929800502754,0.0047641979535162967,0.0009307890717390843,1.8326721691735446e-05,2.0896248997087784e-07,2.1935181658338694e-05,2.4660303119062379e-07,2.5218265219955896e-05,2.893007407675043e-07,2.5218265219955896e-05,0,1.053110209587158e-15,1.0132831021744069,4954110793270.6553
n6_linear_f0.4_d6.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,6,15,5,11,true,true,true,true,true,true,0.0018518518518518515,0.004235253772290809,0.0022389106697313088,0.0015948023201252208,0.0015966529335202319,0.001598888296503286,0.0027418460379216368,0.001774461171952112,0.0011616261687195969,0.001774461171952112,0.00013878079807858477,0.00013832949226561168,4.8576389514229558e-07,0.00018309607578000182,5.2369364277323793e-07,0.00017519945582746653,6.8383517068493616e-07,0.00017519945582746653,0,1.9030995591850661e-16,1.0040573156088244,8611.0246001791857
n6_linear_f0.4_d10.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,10,15,5,11,true,true,true,true,true,true,0.00040000000000000013,0.00091481481481481513,0.00056785919133983285,0.0002351967064881126,0.00023526092892354152,0.00023534037024832243,0.00067006089422418536,0.00045562274684780846,0.00027450311657866051,0.00045562274684780846,2.0385372653538706e-05,2.0382834470640539e-05,4.8134485754565757e-09,2.8204276537548709e-05,4.9074453705866902e-09,1.5198115689588191e-05,6.7957365211493883e-09,1.5198115689588191e-05,0,2.5143684442530352e-16,1.0009937172129193,9.1451960514316841
n6_linear_f0.8_d2.1,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.1000000000000001,15,11,11,true,true,true,true,true,true,0.086383759853147599,0.19756285818266159,0.089554895120870143,0.39202781329761399,0.46026806563671202,0.47418497551881594,0.17348146625933752,0.035617333193420087,0.14423949453868998,0.035617333193420087,0.08855439798420589,0.00077487500730875989,0.00014825780402331714,0.00099952535202110023,0.00018465676410593068,0.00039729186308193353,6.1540070084662178e-05,0.00039729186308193353,0,6.7725616927866163e-16,1.5986026199457239,3.7596442040034334e+34
n6_linear_f0.8_d2.5,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.5,15,9,11,true,true,true,true,true,true,0.051200000000000016,0.11709629629629634,0.053709474756439425,0.19606111055660302,0.20803931045238555,0.21246091910484174,0.077905522629281354,0.025646791748988634,0.056518337495960747,0.025646791748988634,0.024245386345616987,0.00023032993286249456,1.402502954253743e-05,0.0003225855580782317,1.960387692016349e-05,0.00025291696910430126,1.5598595769592743e-05,0.00025291696910430126,0,6.165968421000261e-16,1.1519725077400007,3.8191913893934823e+24
n6_linear_f0.8_d3.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,3,15,7,11,true,true,true,true,true,true,0.029629629629629624,0.067764060356652944,0.031607864889256015,0.095202738038750692,0.097705196578264084,0.099127070761212785,0.040529149784144423,0.017860563272625932,0.025309948281046841,0.017860563272625932,0.0082198503284930963,0.0005220713618134963,1.9278652833386519e-05,0.0006988534608945822,2.5314752169015171e-05,0.00065672736094592741,2.4934925827968383e-05,0.00065672736094592741,0,4.3368071846114305e-16,1.0700467467420718,3727812039460004
n6_linear_f0.8_d4.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,4,15,7,11,true,true,true,true,true,true,0.012500000000000001,0.028587962962962968,0.013860098533110935,0.030668824758980466,0.030934102117535604,0.031168447873379548,0.016803572047695923,0.0094367841812022981,0.0085347753646162726,0.0094367841812022981,0.0018941027720300353,3.9466716872286587e-05,4.5628343726317719e-07,4.7303920586145249e-05,5.3893957442179406e-07,5.4241434709270254e-05,6.3114092455748542e-07,5.4241434709270254e-05,0,4.851784607325888e-16,1.0268463789015565,20007004291459.094
