ka,kd,separation_ratio,f1,corrected_force,silva_bruus_force,relative_error_percent
0.1,0.2124,0.4708097928436911,0.1,-0.009418224906205159,-0.009331953788252289,0.9160018879569433
0.1,0.2126,0.4703668861712136,0.1,-0.009382562437978031,-0.00929702140246836,0.9117022782968622
0.1,0.21280000000000002,0.4699248120300752,0.1,-0.009347071002312064,-0.00926225269578741,0.9074319271103523
0.1,0.21300000000000002,0.4694835680751174,0.1,-0.00931174959311949,-0.009227646748062793,0.9031905789094826
0.1,0.2132,0.4690431519699813,0.1,-0.009276597211485495,-0.009193202645179003,0.8989779808833323
0.1,0.2134,0.46860356138706655,0.1,-0.009241612865606048,-0.009158919479006508,0.8947938828653552
0.1,0.2136,0.4681647940074906,0.1,-0.009206795570726532,-0.009124796347357064,0.8906380373013675
0.1,0.21380000000000002,0.4677268475210477,0.1,-0.009172144349080858,-0.009090832353939253,0.886510199218064
0.1,0.214,0.4672897196261683,0.1,-0.009137658229831317,-0.009057026608314497,0.882410126191692
0.1,0.2142,0.4668534080298786,0.1,-0.009103336249009025,-0.009023378225853404,0.8783375783172394
0.1,0.2144,0.46641791044776115,0.1,-0.009069177449455061,-0.008989886327692506,0.8742923181784219
0.1,0.2146,0.4659832246039143,0.1,-0.009035180880762139,-0.008956550040691342,0.8702741108174098
0.1,0.21480000000000002,0.46554934823091243,0.1,-0.009001345599216901,-0.008923368497389846,0.8662827237056561
0.1,0.215,0.46511627906976744,0.1,-0.008967670667742896,-0.008890340835966234,0.8623179267144723
0.1,0.2152,0.46468401486988853,0.1,-0.008934155155844052,-0.008857466200195077,0.8583794920867346
0.1,0.2154,0.46425255338904364,0.1,-0.00890079813954877,-0.008824743739405833,0.8544671944081692
0.1,0.2156,0.46382189239332094,0.1,-0.008867598701354625,-0.008792172608441697,0.8505808105795895
0.1,0.21580000000000002,0.4633920296570899,0.1,-0.008834555930173613,-0.008759751967618776,0.8467201197894979
0.1,0.216,0.462962962962963,0.1,-0.00880166892127796,-0.008727480982685623,0.8428849034867544
0.1,0.2162,0.46253469010175763,0.1,-0.008768936776246464,-0.00869535882478308,0.8390749453536233
0.1,0.2164,0.4621072088724584,0.1,-0.00873635860291149,-0.008663384670404523,0.8352900312797009
0.1,0.21660000000000001,0.46168051708217916,0.1,-0.008703933515306376,-0.008631557701356351,0.8315299493355258
0.1,0.2168,0.46125461254612554,0.1,-0.008671660633613432,-0.00859987710471883,0.8277944897468912
0.1,0.217,0.4608294930875576,0.1,-0.008639539084112509,-0.008568342072807296,0.8240834448696278
0.1,0.2172,0.46040515653775327,0.1,-0.008607567999130056,-0.00853695180313368,0.8203966091643208
0.1,0.2174,0.45998160073597055,0.1,-0.008575746516988642,-0.008505705498368255,0.816733779171695
0.1,0.21760000000000002,0.45955882352941174,0.1,-0.008544073781957094,-0.008474602366301837,0.8130947534882299
0.1,0.2178,0.4591368227731864,0.1,-0.008512548944201061,-0.008443641619808203,0.8094793327420369
0.1,0.218,0.4587155963302753,0.1,-0.008481171159734102,-0.008412822476806841,0.8058873195692443
0.1,0.2182,0.4582951420714941,0.1,-0.00844993959036924,-0.008382144160226009,0.8023185185903594
0.1,0.2184,0.45787545787545786,0.1,-0.008418853403671078,-0.008351605897966128,0.798772736387428
0.1,0.21860000000000002,0.4574565416285453,0.1,-0.00838791177290831,-0.00832120692286344,0.7952497814809751
0.1,0.2188,0.45703839122486295,0.1,-0.00835711387700672,-0.008290946472653953,0.791749464307485
0.1,0.219,0.4566210045662101,0.1,-0.008326458900502697,-0.008260823789937711,0.7882715971974956
0.1,0.2192,0.45620437956204385,0.1,-0.008295946033497184,-0.00823083812214338,0.7848159943533103
0.1,0.2194,0.45578851412944393,0.1,-0.00826557447161005,-0.008200988721493042,0.7813824718274962
0.1,0.21960000000000002,0.4553734061930783,0.1,-0.008235343415935,-0.008171274844967371,0.7779708475017554
0.1,0.2198,0.45495905368516837,0.1,-0.00820525207299482,-0.008141695754271032,0.7745809410653574
0.1,0.22,0.4545454545454546,0.1,-0.008175299654697151,-0.008112250715798368,0.7712125739948619
0.1,0.2202,0.45413260672116257,0.1,-0.008145485378290667,-0.008082939000599403,0.7678655695333062
0.1,0.2204,0.4537205081669691,0.1,-0.008115808466321697,-0.008053759884346107,0.7645397526700337
0.1,0.22060000000000002,0.45330915684496825,0.1,-0.008086268146591212,-0.008024712647298893,0.7612349501205667
0.1,0.2208,0.45289855072463775,0.1,-0.008056863652112342,-0.007995796574273456,0.7579509903071969
0.1,0.221,0.45248868778280543,0.1,-0.008027594221068171,-0.007967010954607811,0.7546877033390812
0.1,0.2212,0.4520795660036167,0.1,-0.007998459096770109,-0.007938355082129695,0.7514449209934048
0.1,0.2214,0.4516711833785005,0.1,-0.00796945752761648,-0.007909828255124105,0.7482224766960828
0.1,0.22160000000000002,0.45126353790613716,0.1,-0.007940588767051686,-0.00788142977630122,0.7450202055033723
0.1,0.2218,0.4508566275924256,0.1,-0.007911852073525648,-0.007853158952764512,0.7418379440830617
0.1,0.222,0.4504504504504505,0.1,-0.007883246710453682,-0.007825015095979135,0.7386755306963527
