geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,max_symmetric_a_vs_c,max_angle_a_vs_c_deg,rms_b_vs_c,max_symmetric_b_vs_c,max_angle_b_vs_c_deg,rms_up_to_three_vs_c,max_symmetric_up_to_three_vs_c,max_angle_up_to_three_vs_c_deg,rms_two_body_correction,rms_collective_correction,rms_three_body_sum,rms_four_body,relative_three_body_sum_amplitude,relative_four_body_amplitude,reconstruction_max_abs,closed_form_max_abs,quartet_residual_relative,quartet_condition_number,max_triplet_residual_relative,max_triplet_condition_number,sum_c_x,sum_c_y
linear_chain,0.1,0.0,0.1,3.2427672955974844,0.003585091242854733,0.023777719193712195,0.0,0.0023410578238028915,0.02355988791583708,0.0,2.5944782077036702e-06,4.426447189871105e-06,0.0,1.913334079069804e-06,3.1202458993268462e-06,3.117777260980247e-06,3.4580136834594674e-09,0.0023392056540374596,2.59447820770367e-06,5.421010862427522e-20,4.0657581468206416e-20,1.1469291999666394e-16,1.0096296320358404,1.8729275376253422e-16,1.0083578940379299,4.336808689942018e-19,6.706984206821221e-19
linear_chain,0.1,0.0,0.1,3.2924528301886795,0.003430698478250969,0.022718771174787836,0.0,0.002240306357423344,0.02250975341538238,0.0,2.375984036272028e-06,4.057091734505144e-06,0.0,1.7235938688793622e-06,2.8114452482858403e-06,2.809316367464824e-06,2.981712303161453e-09,0.00223860995403778,2.375984036272028e-06,8.131516293641283e-20,8.131516293641283e-20,1.4806792291467382e-16,1.009199819584779,1.081335218272422e-16,1.007984808317065,0.0,6.313590835113994e-19
linear_chain,0.1,0.0,0.1,3.342138364779874,0.0032852481571741293,0.021721056391159607,0.0,0.0021453942897369316,0.02152035639426472,0.0,2.17893319762595e-06,3.723526811154063e-06,0.0,1.5551950544058677e-06,2.5373459358077045e-06,2.5355057735277716e-06,2.5770122162815216e-09,0.0021438383829952283,2.1789331976259506e-06,1.0842021724855044e-19,2.168404344971009e-19,6.621798823421814e-17,1.0087953559750864,1.529238931508584e-16,1.0076337073052235,0.0,5.950677774815521e-19
linear_chain,0.1,0.0,0.1,3.3918238993710697,0.003148098503191505,0.020780240927614893,0.0,0.0020559022821177455,0.020587398199639298,0.0,2.000937155686535e-06,3.421818369005656e-06,0.0,1.4054647132238326e-06,2.2936030308173895e-06,2.2920088333758963e-06,2.2322829079358556e-09,0.0020544733015513293,2.000937155686535e-06,6.776263578034403e-20,4.336808689942018e-19,1.3243597659177687e-16,1.0084143963270227,1.7097411014703933e-16,1.0073029925216248,-6.505213034913027e-19,5.611666541449092e-19
linear_chain,0.1,0.0,0.1,3.4415094339622643,0.0030186622963937495,0.019892351487998033,0.0,0.0019714466691326538,0.01970693781379951,0.0,1.8399037483552642e-06,3.148513925097541e-06,0.0,1.2720976271339682e-06,2.0764693806546945e-06,2.075085237855872e-06,1.937918918441934e-09,0.001970132532870514,1.8399037483552645e-06,1.3552527156068805e-20,9.486769009248164e-20,4.08893888088522e-35,1.0080552549693547,7.646194659323188e-17,1.0069912032684407,-2.168404344971009e-19,5.297434266278268e-19
linear_chain,0.1,0.0,0.1,3.4911949685534593,0.0028964015373981293,0.019053741120299044,0.0,0.001891675966299572,0.018875357870112856,0.0,1.693996789637862e-06,2.9005778465805667e-06,0.0,1.153101312640627e-06,1.882706211939953e-06,1.881501882503526e-06,1.6859643700481804e-09,0.001890465899091025,1.693996789637862e-06,4.0657581468206416e-20,2.168404344971009e-19,1.6220028321922246e-16,1.0077163895934813,1.081335218272422e-16,1.0066970029372906,-4.336808689942018e-19,5.0051302726964765e-19
linear_chain,0.1,0.0,0.1,3.5408805031446544,0.002780822699425978,0.018261058584143338,0.0,0.0018162677631445752,0.018089334279836222,0.0,1.5616016497075651e-06,2.6753360496796726e-06,0.0,1.0467499051186443e-06,1.7095081394504192e-06,1.7084580911691465e-06,1.4698112166745461e-09,0.0018151521388319386,1.561601649707565e-06,9.486769009248164e-20,1.2197274440461925e-19,1.146929201390854e-16,1.0073963871900002,7.646194659323188e-17,1.006419166853377,0.0,4.734535277887826e-19
linear_chain,0.1,0.0,0.1,3.590566037735849,0.0026714724965445115,0.017511220935821612,0.0,0.0017449259543932233,0.01734580904776864,0.0,1.4412958733065163e-06,2.470428706766827e-06,0.0,9.515453710702506e-07,1.5544400983792244e-06,1.5535227214279017e-06,1.2839559715731466e-09,0.0017438961592573451,1.4412958733065163e-06,5.421010862427522e-20,2.168404344971009e-19,1.4806792274919503e-16,1.0070939515445756,1.0813352180206541e-16,1.0061565714651681,-6.505213034913027e-19,4.480386494270948e-19
linear_chain,0.1,0.0,0.1,3.640251572327044,0.002567934105849928,0.01680138895794462,0.0,0.0016773782684623172,0.016641965908371067,0.0,1.3318240292462627e-06,2.2837696482439528e-06,0.0,8.661848025328049e-07,1.4153841710885966e-06,1.4145811313954198e-06,1.1238029519713814e-09,0.001676426582441262,1.3318240292462625e-06,9.486769009248164e-20,8.131516293641283e-20,1.3243597653010658e-16,1.0068078921006929,1.7097411013111612e-16,1.00590818471392,2.168404344971009e-19,4.243780335925296e-19
linear_chain,0.1,0.0,0.1,3.689937106918239,0.0024698237895306166,0.01612894510946577,0.0,0.0016133740578275625,0.015975208460111873,0.0,1.2320761437071857e-06,2.113511473690706e-06,0.0,7.895327729105937e-07,1.2904946467450276e-06,1.289790352990959e-06,9.855046696222002e-10,0.001612493551058495,1.2320761437071857e-06,6.776263578034403e-20,1.7618285302889447e-19,6.621798811087752e-17,1.006537114022992,1.8729275373346255e-16,1.0056730574397448,0.0,4.0218661262442966e-19
