case_id,field_channel,particle,component,lmax,control_radius_over_a,theta_order,phi_count,analytic_force,integrated_force,absolute_error,relative_error_or_absolute_if_unresolved,force_resolved
dimer_axis,external,0,z,4,1.04,24,48,0,-3.6669486891405261e-16,3.6669486891405261e-16,3.6669486891405261e-16,false
dimer_axis,external,0,x,4,1.04,32,64,0,-1.2283750405739371e-15,1.2283750405739371e-15,1.2283750405739371e-15,false
dimer_axis,external,0,y,4,1.04,32,64,0,3.9981280547558846e-17,3.9981280547558846e-17,3.9981280547558846e-17,false
dimer_axis,external,0,z,4,1.04,32,64,0,-5.0776743920621933e-17,5.0776743920621933e-17,5.0776743920621933e-17,false
dimer_axis,external,1,x,4,1.01,24,48,0,-1.0167408690149593e-15,1.0167408690149593e-15,1.0167408690149593e-15,false
dimer_axis,external,1,y,4,1.01,24,48,0,-1.3872110535604166e-16,1.3872110535604166e-16,1.3872110535604166e-16,false
dimer_axis,external,1,z,4,1.01,24,48,0,-2.156689540497303e-17,2.156689540497303e-17,2.156689540497303e-17,false
dimer_axis,external,1,x,4,1.01,32,64,0,-1.1693543038710473e-15,1.1693543038710473e-15,1.1693543038710473e-15,false
dimer_axis,external,1,y,4,1.01,32,64,0,8.6540624045692261e-16,8.6540624045692261e-16,8.6540624045692261e-16,false
dimer_axis,external,1,z,4,1.01,32,64,0,1.0433676898803299e-16,1.0433676898803299e-16,1.0433676898803299e-16,false
dimer_axis,external,1,x,4,1.04,24,48,0,-7.3849086568156265e-16,7.3849086568156265e-16,7.3849086568156265e-16,false
dimer_axis,external,1,y,4,1.04,24,48,0,1.8978247792733606e-16,1.8978247792733606e-16,1.8978247792733606e-16,false
dimer_axis,external,1,z,4,1.04,24,48,0,-3.6669486891405261e-16,3.6669486891405261e-16,3.6669486891405261e-16,false
dimer_axis,external,1,x,4,1.04,32,64,0,-1.2283750405739371e-15,1.2283750405739371e-15,1.2283750405739371e-15,false
dimer_axis,external,1,y,4,1.04,32,64,0,3.9981280547558846e-17,3.9981280547558846e-17,3.9981280547558846e-17,false
dimer_axis,external,1,z,4,1.04,32,64,0,-5.0776743920621933e-17,5.0776743920621933e-17,5.0776743920621933e-17,false
dimer_axis,other_particles,0,x,4,1.01,24,48,0.020403080000813832,0.020403080000813818,1.3877787807814457e-17,6.8018102204475523e-16,true
dimer_axis,other_particles,0,y,4,1.01,24,48,4.7130424684037292e-20,2.2148042122663248e-18,2.1676737875822874e-18,1.0624247846383114e-16,true
dimer_axis,other_particles,0,z,4,1.01,24,48,0,2.7779474650235694e-19,2.7779474650235694e-19,1.3615333885436725e-17,true
dimer_axis,other_particles,0,x,4,1.01,32,64,0.020403080000813832,0.020403080000813829,3.4694469519536142e-18,1.7004525551118881e-16,true
dimer_axis,other_particles,0,y,4,1.01,32,64,4.7130424684037292e-20,4.2135077788509496e-19,3.742203532010577e-19,1.8341365773507278e-17,true
dimer_axis,other_particles,0,z,4,1.01,32,64,0,-6.3745901782928092e-19,6.3745901782928092e-19,3.1243273947063586e-17,true
dimer_axis,other_particles,0,x,4,1.04,24,48,0.020403080000813832,0.02040308000081387,3.8163916471489756e-17,1.8704978106230766e-15,true
dimer_axis,other_particles,0,y,4,1.04,24,48,4.7130424684037292e-20,1.7672191750202134e-18,1.7200887503361762e-18,8.4305347539075752e-17,true
dimer_axis,other_particles,0,z,4,1.04,24,48,0,1.8854384199740171e-18,1.8854384199740171e-18,9.2409499933285132e-17,true
dimer_axis,other_particles,0,x,4,1.04,32,64,0.020403080000813832,0.020403080000813818,1.3877787807814457e-17,6.8018102204475523e-16,true
dimer_axis,other_particles,0,y,4,1.04,32,64,4.7130424684037292e-20,7.3702276975441489e-19,6.8989234507037762e-19,3.3813147085776234e-17,true
dimer_axis,other_particles,0,z,4,1.04,32,64,0,1.4798126374455935e-18,1.4798126374455935e-18,7.2528884726549486e-17,true
dimer_axis,other_particles,1,x,4,1.01,24,48,-0.020403080000813836,-0.020403080000813829,6.9388939039072284e-18,3.4009051102237752e-16,true
dimer_axis,other_particles,1,y,4,1.01,24,48,2.5259295949793114e-18,3.1340930613987449e-18,6.0816346641943356e-19,2.9807434289096311e-17,true
dimer_axis,other_particles,1,z,4,1.01,24,48,0,8.6319425118461762e-19,8.6319425118461762e-19,4.2307056147904467e-17,true
dimer_axis,other_particles,1,x,4,1.01,32,64,-0.020403080000813836,-0.020403080000813839,3.4694469519536142e-18,1.7004525551118876e-16,true
dimer_axis,other_particles,1,y,4,1.01,32,64,2.5259295949793114e-18,6.7950760540614675e-19,1.8464219895731644e-18,9.0497218532668327e-17,true
dimer_axis,other_particles,1,z,4,1.01,32,64,0,1.0029556827452903e-18,1.0029556827452903e-18,4.915707249617629e-17,true
dimer_axis,other_particles,1,x,4,1.04,24,48,-0.020403080000813836,-0.020403080000813881,4.5102810375396984e-17,2.210588321645454e-15,true
dimer_axis,other_particles,1,y,4,1.04,24,48,2.5259295949793114e-18,1.754038770613697e-18,7.7189082436561439e-19,3.7832073605300051e-17,true
dimer_axis,other_particles,1,z,4,1.04,24,48,0,5.3915476683902289e-19,5.3915476683902289e-19,2.6425165554294604e-17,true
dimer_axis,other_particles,1,x,4,1.04,32,64,-0.020403080000813836,-0.020403080000813829,6.9388939039072284e-18,3.4009051102237752e-16,true
dimer_axis,other_particles,1,y,4,1.04,32,64,2.5259295949793114e-18,1.2947993759443223e-18,1.2311302190349891e-18,6.0340410319710643e-17,true
dimer_axis,other_particles,1,z,4,1.04,32,64,0,3.9877182908846723e-18,3.9877182908846723e-18,1.9544687815396551e-16,true
