distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.05,0.4,0.1,7,64,28,0.18819278055314467,9.248472042989993e-19,-0.18819278055314467,2.3820078298280597e-17,0.18819278055314467,0.0028989539908746581,true,9,1.2920798749229022e-16,1.2675182916897738,3.5614249048335373e+17
2.05,0.4,0.1,9,100,45,0.1882848714210289,7.4942095158674592e-19,-0.1882848714210289,2.3817271478237202e-17,0.1882848714210289,0.00048910391572724366,true,9,1.0845620981076937e-16,1.2994917792638119,3.3830167097900448e+25
2.05,0.4,0.1,11,144,66,0.18830029660396738,4.4347756685657628e-19,-0.18830029660396738,2.3900072669517383e-17,0.18830029660396738,8.1917995970688621e-05,true,9,3.0652659230174702e-16,1.3202072435528296,5.4687225827273347e+33
2.05,0.8,0.1,1,4,1,0.72213056862313174,0,-0.72213056862313163,8.8437285927322816e-17,0.72213056862313174,0,false,0,3.376707501978642e-16,1.0995068700077064,1.0995068700077064
2.05,0.8,0.1,3,16,6,0.80337211256316765,3.6151842158941151e-18,-0.80337211256316776,1.0170793109249936e-16,0.80337211256316765,0.10112567099302709,true,0,1.553630896233472e-16,1.3318544730810922,4696.9951193242396
2.05,0.8,0.1,5,36,15,0.83496096764956385,6.8710954662335357e-18,-0.83496096764956362,1.0825343543369894e-16,0.83496096764956373,0.03783273267889331,true,0,2.9683437298284676e-16,1.5276121396055882,51479502084.304298
2.05,0.8,0.1,7,64,28,0.84308655313904768,1.1137461932195534e-17,-0.84308655313904746,1.1235139269705717e-16,0.84308655313904757,0.0096379018965846389,true,0,2.6519607705805401e-16,1.6742326339482039,2.0992389511944369e+18
2.05,0.8,0.1,9,100,45,0.84501923921054134,7.7692778801202725e-18,-0.84501923921054134,1.1264330198157036e-16,0.84501923921054134,0.0022871503769540001,true,0,1.9074170997335298e-16,1.7783570221164759,2.4438215036205614e+26
2.05,0.8,0.1,11,144,66,0.84549986093814555,1.1687598660701161e-17,-0.84549986093814555,1.1353025711528353e-16,0.84549986093814555,0.00056844684406089389,true,0,3.0032225150243678e-16,1.8495981569737792,3.6678611272853175e+34
2.05,1.0,0.1,1,4,1,1.1425403266769649,0,-1.1425403266769647,1.3991997916329319e-16,1.1425403266769647,0,false,0,1.5170985233553979e-16,1.1259501999628523,1.1259501999628523
