scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
3,t14_n15_linear_level3,4,-12.651150784359004,0,0,0.00025123532173097887,0,0,0.00027186437679459452,5.4285121507617648e-18,0,0.00027186437679459452,5.4285121507617648e-18,0,0.00026685533240922648,5.3536398820896148e-18,0,5.0090443853680343e-06,7.487226867215033e-20,0
3,t14_n15_linear_level3,5,-8.434100522906002,0,0,0.00013085833299242777,0,0,0.00014161885337931295,5.4418196573493473e-18,0,0.00014161885337931295,5.4418196573493473e-18,0,0.00013893851971063915,5.3613670892749578e-18,0,2.6803336686738064e-06,8.0452568074389254e-20,0
3,t14_n15_linear_level3,6,-4.217050261453001,0,0,5.6654629154911779e-05,0,0,6.133668215251771e-05,5.4552955744242228e-18,0,6.133668215251771e-05,5.4552955744242228e-18,0,6.0153300177824104e-05,5.3727814809833048e-18,0,1.1833819746936061e-06,8.2514093440918348e-20,0
3,t14_n15_linear_level3,7,0,0,0,2.7105054312137611e-20,0,0,-2.833658576941207e-17,5.4485300682825873e-18,0,-2.833658576941207e-17,5.4485300682825873e-18,0,-2.7849964860234899e-17,5.3683170403670898e-18,0,-4.8662090917717241e-19,8.021302791549754e-20,0
3,t14_n15_linear_level3,8,4.217050261453001,0,0,-5.6654629154911115e-05,0,0,-6.1336682152530179e-05,5.4486588829953187e-18,0,-6.1336682152530179e-05,5.4486588829953187e-18,0,-6.0153300177836369e-05,5.3699727035552593e-18,0,-1.183381974693807e-06,7.8686179440059537e-20,0
3,t14_n15_linear_level3,9,8.434100522906002,0,0,-0.00013085833299242918,0,0,-0.00014161885337926703,5.4822923393894823e-18,0,-0.00014161885337926703,5.4822923393894823e-18,0,-0.00013893851971059402,5.4093233371312054e-18,0,-2.6803336686730017e-06,7.2969002258276897e-20,0
3,t14_n15_linear_level3,10,12.651150784359004,0,0,-0.00025123532173097464,0,0,-0.00027186437679457961,5.4286066440646216e-18,0,-0.00027186437679457961,5.4286066440646216e-18,0,-0.00026685533240921179,5.3559590694899396e-18,0,-5.0090443853678412e-06,7.2647574574681995e-20,0
3,t14_n15_linear_level3,11,16.868201045812004,0,0,-0.00048913398619894954,0,0,-0.00052972094898155948,5.4958932490581864e-18,0,-0.00052972094898155948,5.4958932490581864e-18,0,-0.00052025632205084831,5.4241962371149885e-18,0,-9.4646269307111867e-06,7.1697011943197688e-20,0
3,t14_n15_linear_level3,12,21.085251307265004,0,0,-0.0011099358030154881,0,0,-0.001204617532392117,5.4690847014568154e-18,0,-0.001204617532392117,5.4690847014568154e-18,0,-0.0011838479051994256,5.3959107106930953e-18,0,-2.0769627192691399e-05,7.317399076371968e-20,0
3,t14_n15_linear_level3,13,25.302301568718008,0,0,-0.0038075364918222498,0,0,-0.004128899738358058,5.4696318002294063e-18,0,-0.004128899738358058,5.4696318002294063e-18,0,-0.0040620973980600595,5.3921802461690331e-18,0,-6.6802340297998847e-05,7.7451554060373534e-20,0
3,t14_n15_linear_level3,14,29.519351830171008,0,0,-0.043120701713717957,0,0,-0.04406953737416467,5.3459711543093099e-18,0,-0.04406953737416467,5.3459711543093099e-18,0,-0.043673243019406921,5.3070976449770241e-18,0,-0.00039629435475774992,3.8873509332285519e-20,0
4,t14_n15_linear_level4,0,-21.558876640293679,0,0,0.14864834267507016,0,0,0.15858939439165926,1.3375827462075621e-19,0,0.15858939439165926,1.3375827462075621e-19,0,0.15408940344968042,1.2066023883162023e-19,0,0.0044999909419788367,1.3098035789135979e-20,0
4,t14_n15_linear_level4,1,-18.479037120251725,0,0,0.012404490644557176,0,0,0.014951248300756977,1.7968162158454502e-17,0,0.014951248300756977,1.7968162158454502e-17,0,0.014232800351123379,1.7334423852843249e-17,0,0.0007184479496335982,6.3373830561125262e-19,0
4,t14_n15_linear_level4,2,-15.399197600209771,0,0,0.0034483399957765141,0,0,0.0042124746920397284,1.9319025495740798e-17,0,0.0042124746920397284,1.9319025495740798e-17,0,0.0040024273042035688,1.8587809920245251e-17,0,0.00021004738783615958,7.3121557549554618e-19,0
4,t14_n15_linear_level4,3,-12.319358080167817,0,0,0.0015071691822677771,0,0,0.0018336861333833178,1.9454606452235417e-17,0,0.0018336861333833178,1.9454606452235417e-17,0,0.0017409945753542311,1.8764835567900941e-17,0,9.26915580290866e-05,6.8977088433447683e-19,0
