holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
17,n10_compact_f0.1_d6.0,2,3.0000000000000013,-5.196152422706632,0,-3.5786237741596279e-05,0.00031279775148698394,0,-3.5942175776468978e-05,0.00031330174192230315,0,-3.5863365073511445e-05,0.00031260992155146376,0,-3.5863365073511445e-05,0.00031260992155146376,0,-3.5813239720894012e-05,0.00031219096707436954,0,-5.0125352617434231e-08,4.1895447709424863e-07,0
17,n10_compact_f0.1_d6.0,3,9.0000000000000018,-5.196152422706632,0,-0.00028003197752594423,0.00016167653760630713,0,-0.00028042038750826829,0.00016190078621415788,0,-0.00027965057569998225,0.00016145633515941859,0,-0.00027965057569998225,0.00016145633515941859,0,-0.0002794258312051289,0.0001613265788648161,0,-2.2474449485337617e-07,1.2975629460248328e-07,0
17,n10_compact_f0.1_d6.0,4,-6,0,0,0.00028878391790517806,-0.00012540708475340006,0,0.00028929835544286493,-0.00012552403367144385,0,0.00028865981607538357,-0.0001252463755568755,0,0.00028865981607538357,-0.0001252463755568755,0,0.000288271928178882,-0.00012508030814706872,0,3.878878965015622e-07,-1.6606740980677371e-07,0
17,n10_compact_f0.1_d6.0,5,0,0,0,-1.0842021724855044e-19,-6.7762635780344027e-21,0,-2.1774783617908436e-19,-5.613640086792104e-20,0,-1.463501403332116e-19,-2.0720842289146511e-19,0,-1.463501403332116e-19,-2.0720842289146511e-19,0,-1.4604993514325076e-19,-2.0681172427926438e-19,0,-3.0020518996084086e-22,-3.9669861220073152e-22,0
17,n10_compact_f0.1_d6.0,6,6.0000000000000018,0,0,-0.00028878391790517789,-0.00012540708475340019,0,-0.00028929835544286509,-0.00012552403367144393,0,-0.000288659816075384,-0.00012524637555687545,0,-0.000288659816075384,-0.00012524637555687545,0,-0.00028827192817888243,-0.00012508030814706867,0,-3.8788789650156262e-07,-1.6606740980677363e-07,0
17,n10_compact_f0.1_d6.0,7,-3,5.196152422706632,0,0.00025299768016358163,-0.00018739066673358396,0,0.00025335617966639579,-0.00018777770825085946,0,0.00025279645100187209,-0.00018736354599458864,0,0.00025279645100187209,-0.00018736354599458864,0,0.00025245868845798794,-0.00018711065892730117,0,3.3776254388412768e-07,-2.5288706728747556e-07,0
17,n10_compact_f0.1_d6.0,8,3.0000000000000013,5.196152422706632,0,-0.00025299768016358163,-0.0001873906667335839,0,-0.00025335617966639606,-0.0001877777082508596,0,-0.00025279645100187214,-0.00018736354599458872,0,-0.00025279645100187214,-0.00018736354599458872,0,-0.00025245868845798799,-0.00018711065892730125,0,-3.3776254388412768e-07,-2.5288706728747566e-07,0
17,n10_compact_f0.1_d6.0,9,0,10.392304845413266,0,-2.7105054312137611e-20,-0.00032335307521261399,0,-6.1750040954713155e-20,-0.00032380157242831549,0,3.8325909495321438e-20,-0.00032291267031883691,0,3.8325909495321438e-20,-0.00032291267031883691,0,3.8306498949323062e-20,-0.00032265315772963193,0,1.9410545998374872e-23,-2.595125892049663e-07,0
18,n10_compact_f0.1_d4.0,0,-6.0000000000000009,-3.4641016151377548,0,0.0013389064941377394,0.00077301802481016227,0,0.001344720739465795,0.00077637488091544945,0,0.0013436887444422702,0.00077577905831081601,0,0.0013436887444422702,0.00077577905831081601,0,0.0013400356183569751,0.00077366992498208718,0,3.6531260852951998e-06,2.1091333287288321e-06,0
18,n10_compact_f0.1_d4.0,1,-2,-3.4641016151377548,0,0.00015808635189258741,0.001507141277028853,0,0.00016023253337324247,0.0015149977921785358,0,0.00016041339511697723,0.0015162626767139299,0,0.00016041339511697723,0.0015162626767139299,0,0.00015965855699127078,0.0015097218568731953,0,7.5483812570643752e-07,6.540819840734514e-06,0
18,n10_compact_f0.1_d4.0,2,2.0000000000000009,-3.4641016151377548,0,-0.00015808635189258678,0.001507141277028853,0,-0.00016023253337324117,0.001514997792178536,0,-0.00016041339511697772,0.001516262676713929,0,-0.00016041339511697772,0.001516262676713929,0,-0.00015965855699127127,0.0015097218568731945,0,-7.5483812570644017e-07,6.5408198407345115e-06,0
