geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,rms_b_vs_c,max_symmetric_a_vs_c,max_symmetric_b_vs_c,max_angle_a_vs_c_deg,max_angle_b_vs_c_deg,rms_two_body_correction,rms_irreducible_multibody,residual_relative,condition_number,sum_c_x,sum_c_y
scalene,0.1,0.0,0.8,4.882389937106918,0.005834684674411199,0.0026858680359938226,0.006280451763995198,0.0038332816979384098,0.022166381940097523,0.00012003948163343708,8.449878658099698e-05,6.931049769289223e-05,1.5292389874090115e-16,1.0167339695036801,-2.3262292277758333e-05,-3.434641844882874e-05
scalene,0.1,0.0,0.8,4.932075471698114,0.005672477513895368,0.0026113818296102597,0.006104996787357123,0.0037254736232929294,0.021538217957036945,0.00011315963704214459,7.894750140150177e-05,6.476994513203366e-05,1.3243597753738826e-16,1.0162438176237099,-2.1716285364928268e-05,-3.2066976174381645e-05
scalene,0.1,0.0,0.8,4.981761006289308,0.005516509934246855,0.002539766111584842,0.0059363219232103324,0.003621848596755988,0.020934537600231406,0.00010673195057349327,7.381517368916757e-05,6.057170547882369e-05,1.0813352822214858e-16,1.0157731995567052,-2.0287930732050693e-05,-2.9960976623676777e-05
scalene,0.1,0.0,0.8,5.031446540880504,0.005366479853657623,0.0024708813714459715,0.005774097291056073,0.0035222026592354326,0.020354156630171368,0.00010069824937108386,6.906625886582085e-05,5.668672942371345e-05,7.646195107950817e-17,1.0153211457153684,-1.8967191635146496e-05,-2.801361451273965e-05
scalene,0.1,0.0,0.8,5.081132075471698,0.005222102647404689,0.002404596204099195,0.005618012188496525,0.0034263437321682406,0.01979595881955192,9.504537094434022e-05,6.466854999719924e-05,5.308869885482066e-05,1.0813352177688863e-16,1.0148867440306883,-1.7744976988107804e-05,-2.621148113553587e-05
scalene,0.1,0.0,0.8,5.130817610062893,0.005083109979982158,0.00234078676384796,0.005467773798742054,0.003334090815170424,0.019258891601520327,8.973156960383762e-05,6.059283498798818e-05,4.975374574774544e-05,1.0813352661083362e-16,1.0144691359861742,-1.6613044058857106e-05,-2.4542420429082834e-05
scalene,0.1,0.0,0.8,5.180503144654088,0.004949248725754392,0.0022793362601496725,0.005323105996961838,0.0032452732451983407,0.018741961788787412,8.474321703453163e-05,5.681259193196686e-05,4.666020243293857e-05,7.646195791573821e-17,1.0140675129634615,-1.5563912001859354e-05,-2.2995401101236906e-05
scalene,0.1,0.0,0.8,5.230188679245283,0.004820279970637793,0.002220134491540632,0.005183748247028129,0.0031597300119353515,0.018244231949789243,8.005920657503879e-05,5.330371804967924e-05,4.378837947119337e-05,1.3243597885302146e-16,1.0136811128718861,-1.459078493100212e-05,-2.156040289399974e-05
scalene,0.1,0.0,0.8,5.279874213836479,0.004695978088042587,0.0021630774145070648,0.0050494545810130425,0.0030773091246558697,0.017764816326185894,7.564935575307128e-05,5.004428823084691e-05,4.1120367852263826e-05,7.646195107950817e-17,1.0133092170372857,-1.3687483401043118e-05,-2.0228315302945818e-05
scalene,0.1,0.0,0.8,5.329559748427673,0.0045761298829078536,0.0021080667443729036,0.0049199926545104525,0.00299786702622349,0.01730287797488024,7.149302921617786e-05,4.7014339703141695e-05,3.863986264951768e-05,1.0813352338820364e-16,1.0129511473276764,-1.2848383310371165e-05,-1.8990847285965326e-05
