case_id,lmax,rms_d,rms_matched_pairwise,rms_collective_residual,delta_d,delta_d_applicable,delta_b,delta_b_applicable,delta_r,delta_r_applicable,physical_residual,balanced_condition,raw_condition
n10_linear_f0.1_d10.0,5,1.1322933210643348e-05,1.1322022489434036e-05,1.1982064283588567e-09,1.1514497357184384e-09,true,1.2087180147860002e-09,true,1.6230768459964557e-09,true,6.1500693634375204e-16,1.0002606418844999,2.0203156820686488
n10_linear_f0.4_d2.1,1,0.080198652543914423,0.07769685376188766,0.003198092314714655,0,false,0,false,0,false,2.2890622841439653e-16,1.0924381170784936,1.0924381170784936
n10_linear_f0.4_d2.1,3,0.082466042538338225,0.08074947134337758,0.0021470725298320678,0.030090110771349949,true,0.037125897274818048,true,0.012796339159335918,true,2.2405769100445354e-16,1.1587639128638529,3312.0518260262916
n10_linear_f0.4_d2.1,5,0.082976879874218368,0.081610378126523025,0.0016962611082464837,0.0076150666766144357,true,0.010405532120592167,true,0.0055135967183992732,true,6.2061801590890885e-16,1.199505712608137,27292160547.721355
n10_linear_f0.4_d2.1,7,0.083060501229905728,0.081757576610010207,0.0016150015158614228,0.0012857682724578007,true,0.0017773003838261767,true,0.0010020678262389379,true,9.2488069206551457e-16,1.222894619548905,8.0973625110469478e+17
n10_linear_f0.4_d2.1,9,0.083072703387066862,0.081778476281839138,0.0016039074011388957,0.00018361533926909652,true,0.000252307825104197,true,0.00013716661405196673,true,7.2657481332590918e-16,1.2354030438892341,6.5382808521157077e+25
n10_linear_f0.4_d2.1,11,0.083074472457230111,0.081781312431640746,0.001602546667333745,2.5378412292296654e-05,true,3.4238191253177588e-05,true,1.6834515750934092e-05,true,6.4942043146934576e-16,1.2416740619942721,4.8973214449354043e+34
n10_linear_f0.4_d2.5,1,0.039281585407210461,0.038547700360665425,0.00094040772362607105,0,false,0,false,0,false,1.8302462552620816e-16,1.054229737264383,1.0542297372643827
n10_linear_f0.4_d2.5,3,0.03958087865244355,0.039095455255390668,0.00061100378230166555,0.010164723339187484,true,0.013882741455489706,true,0.0083515406226601779,true,3.2086584543663001e-16,1.0700558437802166,551.64193365122355
n10_linear_f0.4_d2.5,5,0.039610234188298836,0.039167350607109984,0.00055631381545777217,0.0012978201553858412,true,0.0018209927836027099,true,0.0014045055053954637,true,6.1524583253314897e-16,1.0728505577042116,2116026736.7305808
n10_linear_f0.4_d2.5,7,0.039612206375987974,0.039172741198436153,0.0005519440468355031,9.8125261522000033e-05,true,0.00013652824378122474,true,0.00011283789270405928,true,5.734175452884751e-16,1.0732318666744602,28495579476864720
n10_linear_f0.4_d2.5,9,0.039612314492433291,0.039173051938507404,0.00055168534315528956,5.6891405020133764e-06,true,7.8701345069213201e-06,true,6.6889330281941149e-06,true,7.2428068003683939e-16,1.0732742689445327,9.7867033100185684e+23
n10_linear_f0.4_d3.0,1,0.018838679810582775,0.018631342406064247,0.00026608132643817287,0,false,0,false,0,false,2.071834186130833e-16,1.0314454841368681,1.0314454841368683
n10_linear_f0.4_d3.0,3,0.018876166756376444,0.018728439559202649,0.00018734235971126052,0.0037788712695715986,true,0.0051613537292641608,true,0.0041887375482534284,true,2.8599749116956392e-16,1.0354378620117888,89.261614328777895
n10_linear_f0.4_d3.0,5,0.018877778239035962,0.01873445261702672,0.00018168702580111383,0.00024006481373599502,true,0.00031966104800320742,true,0.00030475058366081061,true,8.4541271491393781e-16,1.0356531749068767,159282311.77152801
n10_linear_f0.4_d3.0,7,0.018877827856173677,0.018734666056406554,0.00018147742476335062,8.6930875432531215e-06,true,1.1346732537687784e-05,true,1.1336516907735448e-05,true,9.369309965548508e-16,1.0356616641998728,1015371559969019.8
n10_linear_f0.4_d4.0,1,0.006009536655093321,0.0059805178219322032,3.738896169827199e-05,0,false,0,false,0,false,1.573444587942052e-16,1.0135680175133137,1.0135680175133135
n10_linear_f0.4_d4.0,3,0.0060111806651515654,0.0059875767947477282,3.0268772328498521e-05,0.00092588860777864613,true,0.0011788396949698732,true,0.0011903751044568139,true,2.254537056691749e-16,1.0141228863516105,6.7788389403201537
n10_linear_f0.4_d4.0,5,0.0060111955169026782,0.0059877075818573888,3.012032768794032e-05,1.8270497754724373e-05,true,2.184802137814398e-05,true,2.5134785077256473e-05,true,9.5374819307308703e-16,1.0141295614192549,2810760.8473365391
n10_linear_f0.4_d4.0,7,0.0060111956572081304,0.0059877090521978085,3.0118630649000593e-05,2.0818177641411667e-07,true,2.4562314490057911e-07,true,2.882063128859255e-07,true,9.6470332377752658e-16,1.0141296198502296,5623128547540.8545
n10_linear_f0.4_d6.0,1,0.0012368159278192076,0.0012349388068960388,2.455945906713942e-06,0,false,0,false,0,false,2.2232718871862239e-16,1.0042841904639594,1.0042841904639597
n10_linear_f0.4_d6.0,3,0.001236874218366734,0.0012351645459200435,2.2375666179453818e-06,0.00014045807716203427,true,0.00018334318826797191,true,0.00017756585503776075,true,2.1532117731672099e-16,1.004329996363478,1.3462519144287932
n10_linear_f0.4_d6.0,5,0.0012368742086899362,0.0012351651910997234,2.2367357730865568e-06,4.8688457934831881e-07,true,5.2437927390747499e-07,true,6.8519132466456807e-07,true,7.8060541473498841e-16,1.0043300941800803,9790.9570183429951
n10_linear_f0.4_d10.0,1,0.00018124261815169541,0.00018118227654062631,7.9351572384629155e-08,0,false,0,false,0,false,1.9941226585228661e-16,1.0010401436135707,1.0010401436135707
n10_linear_f0.4_d10.0,3,0.00018124564792597355,0.00018118739918362159,7.6631407487293449e-08,2.0558333069498795e-05,true,2.8363021566462147e-05,true,1.5055167934151356e-05,true,2.6501084098540731e-16,1.0010430901766871,1.0254167693349503
n10_linear_f0.4_d10.0,5,0.00018124564786020864,0.00018118740007385366,7.6630173678114948e-08,4.8467880688906171e-09,true,4.9358275057841009e-09,true,6.8395546766617623e-09,true,6.1490638446302399e-16,1.0010430909565036,10.149624648348466
n10_linear_f0.8_d2.1,1,0.33888578546835879,0.31742541359486148,0.027174076352599861,0,false,0,false,0,false,3.0568630294911105e-16,1.1950380984572215,1.1950380984572218
n10_linear_f0.8_d2.1,3,0.36092756888168737,0.34546910320117474,0.01921206307615381,0.065623326722347511,true,0.07791075837054233,true,0.022216007172215592,true,4.2003571969216153e-16,1.3597746693986248,14865.614753392058
n10_linear_f0.8_d2.1,5,0.3671078205338274,0.3548663410847393,0.015099419205011637,0.019487961328940977,true,0.025662633497560348,true,0.011370830890322247,true,6.3019765907080497e-16,1.4725700413267826,134783231938.23436
n10_linear_f0.8_d2.1,7,0.3684127607391452,0.35684776651829575,0.014238830900604807,0.0040873419660129714,true,0.0053914366810112425,true,0.0023956785757481376,true,7.2227074612221603e-16,1.5419113396776154,4.5496730015421507e+18
n10_linear_f0.8_d2.1,9,0.36866749557411221,0.35721395361959923,0.014097293748984384,0.00077253383480443744,true,0.0009956867344614569,true,0.00039514020599277941,true,5.5211715956074391e-16,1.5807562324943254,4.3203962614112546e+26
n10_linear_f0.8_d2.1,11,0.36871790395315091,0.3572816141485381,0.014075401442327017,0.0001478155009732792,true,0.00018394771991245976,true,6.1175346623521697e-05,true,6.0178096641195838e-16,1.6009095650741532,3.7596442040034334e+34
n10_linear_f0.8_d2.5,1,0.16223417443511681,0.15612005234255844,0.0077907465963204118,0,false,0,false,0,false,3.4033595139522847e-16,1.1118882085463677,1.1118882085463677
n10_linear_f0.8_d2.5,3,0.16488919499485327,0.16085902782824144,0.0050480894759450858,0.021291090941227834,true,0.02882855982402955,true,0.016693790492834645,true,3.5276301020087883e-16,1.1482828642381167,2310.5465332854315
n10_linear_f0.8_d2.5,5,0.16517835170216205,0.16153048906672379,0.0045592350978833655,0.0029031704374648049,true,0.0040776149809956599,true,0.0030118469319719626,true,4.7905323967618687e-16,1.155155958535641,9075136041.160593
