scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
2,t14_1_n45_linear_level2,28,33.431551207258714,0,0,-1.7010179305042132e-06,0,0,-1.7743569444185912e-06,1.8342153162245565e-18,0,-1.7743569444185912e-06,1.8342153162245565e-18,0,-1.7556967238224458e-06,1.8184821504883066e-18,0,-1.8660220596145382e-08,1.5733165736249863e-20,0
2,t14_1_n45_linear_level2,29,39.003476408468501,0,0,-8.027353443618048e-06,0,0,-8.2869854268943676e-06,1.6713067267580952e-18,0,-8.2869854268943676e-06,1.6713067267580952e-18,0,-8.2216287032061863e-06,1.6608787839809785e-18,0,-6.5356723688181495e-08,1.042794277711674e-20,0
2,t14_1_n45_linear_level2,30,44.575401609678288,0,0,-1.3038437928130601e-05,0,0,-1.3436340814222579e-05,1.7150728249985443e-18,0,-1.3436340814222579e-05,1.7150728249985443e-18,0,-1.3336687958494055e-05,1.7059021650898654e-18,0,-9.9652855728523101e-08,9.170659908678855e-21,0
2,t14_1_n45_linear_level2,31,50.147326810888075,0,0,-1.5015304777199281e-05,0,0,-1.5452007148070019e-05,1.7605130910564411e-18,0,-1.5452007148070019e-05,1.7605130910564411e-18,0,-1.5343191698579484e-05,1.7507856209516828e-18,0,-1.0881544949053434e-07,9.7274701047584017e-21,0
2,t14_1_n45_linear_level2,32,55.719252012097861,0,0,-1.2636167907659895e-05,0,0,-1.2975565899631156e-05,1.8212338389401398e-18,0,-1.2975565899631156e-05,1.8212338389401398e-18,0,-1.2891486852349709e-05,1.8079077363129562e-18,0,-8.4079047281447826e-08,1.3326102627183404e-20,0
2,t14_1_n45_linear_level2,33,61.291177213307648,0,0,-5.359205232162786e-06,0,0,-5.454870100474765e-06,1.8195611876820689e-18,0,-5.454870100474765e-06,1.8195611876820689e-18,0,-5.4314524257839537e-06,1.8075871592846224e-18,0,-2.3417674690811141e-08,1.1974028397446607e-20,0
2,t14_1_n45_linear_level2,34,66.863102414517428,0,0,6.2670036572575983e-06,0,0,6.5368469034644674e-06,1.7977814468398723e-18,0,6.5368469034644674e-06,1.7977814468398723e-18,0,6.4703763731056365e-06,1.7853706544008926e-18,0,6.6470530358830542e-08,1.2410792438979569e-20,0
2,t14_1_n45_linear_level2,35,72.435027615727222,0,0,2.0418175479071974e-05,0,0,2.1111180684470981e-05,1.8145381461442887e-18,0,2.1111180684470981e-05,1.8145381461442887e-18,0,2.0941917622912336e-05,1.8043679508061906e-18,0,1.6926306155864412e-07,1.0170195338098207e-20,0
2,t14_1_n45_linear_level2,36,78.006952816937002,0,0,3.3954697907466987e-05,0,0,3.5024844055968275e-05,1.8455252319130491e-18,0,3.5024844055968275e-05,1.8455252319130491e-18,0,3.4765575136921666e-05,1.8348048959172761e-18,0,2.5926891904660827e-07,1.072033599577316e-20,0
2,t14_1_n45_linear_level2,37,83.578878018146796,0,0,4.2485872234509619e-05,0,0,4.3746310592709996e-05,1.7969398042517767e-18,0,4.3746310592709996e-05,1.7969398042517767e-18,0,4.3443822230282576e-05,1.783421015588208e-18,0,3.0248836242742187e-07,1.3518788663568638e-20,0
2,t14_1_n45_linear_level2,38,89.150803219356575,0,0,4.0372707934901712e-05,0,0,4.1457145239745984e-05,1.8128557841011464e-18,0,4.1457145239745984e-05,1.8128557841011464e-18,0,4.119992723265359e-05,1.7998247105456446e-18,0,2.5721800709239069e-07,1.3031073555501638e-20,0
2,t14_1_n45_linear_level2,39,94.722728420566355,0,0,2.0199815728443358e-05,0,0,2.0500602875373681e-05,1.7693051929554384e-18,0,2.0500602875373681e-05,1.7693051929554384e-18,0,2.0429898144750643e-05,1.7585124487779895e-18,0,7.0704730623038046e-08,1.0792744177448816e-20,0
2,t14_1_n45_linear_level2,40,100.29465362177615,0,0,-2.9758148251218304e-05,0,0,-3.1255253004660399e-05,1.8095362785217058e-18,0,-3.1255253004660399e-05,1.8095362785217058e-18,0,-3.0916478487789355e-05,1.7985307024952552e-18,0,-3.3877451687104493e-07,1.1005576026450799e-20,0
2,t14_1_n45_linear_level2,41,105.86657882298593,0,0,-0.00013600826620723113,0,0,-0.00014131497212534222,1.7559195401934012e-18,0,-0.00014131497212534222,1.7559195401934012e-18,0,-0.00014015928200365345,1.7457433008875923e-18,0,-1.1556901216887668e-06,1.0176239305808984e-20,0
