case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n6_linear_f0.1_d10.0,holdout,6,linear,0.10000000000000001,10,0.00014196479783495821,0.0001419647978349577,5.1499603193061461e-19,0.00010057348651827193,0.29156038643330134,0.00014256947948250597,0.00017522827569710949,1.0042593773722077,1.2343079296377579,0.066710147569354339
n6_linear_f0.4_d2.1,holdout,6,linear,0.40000000000000002,2.1000000000000001,0.044777447560435092,0.044777447560435037,5.5511151231257827e-17,0.043439579534940875,0.029878166317731113,0.044777859233870516,0.050935178427143117,1.0000091937673519,1.1375185769219458,0.0023421305279119641
n6_linear_f0.4_d2.5,holdout,6,linear,0.40000000000000002,2.5,0.026854737378219692,0.026854737378219692,0,0.025746812548677615,0.04125621539090716,0.026855380408482815,0.030558177360545294,1.0000239447608095,1.1379063935784099,0.0038103463502601061
n6_linear_f0.4_d3.0,holdout,6,linear,0.40000000000000002,3,0.015803932444628004,0.015803932444627977,2.7755575615628914e-17,0.014899775780484726,0.057210866175942725,0.015804925616710045,0.017995830620264879,1.0000628433515233,1.1386932134338479,0.0062415444895673137
n6_linear_f0.4_d4.0,holdout,6,linear,0.40000000000000002,4,0.0069300492665554641,0.0069300492665554719,7.8062556418956319e-18,0.0062858429073919956,0.092958409729123642,0.0069318437194405419,0.0079127369875889274,1.0002589379694211,1.1418009718597417,0.012977107645957837
n6_linear_f0.4_d6.0,holdout,6,linear,0.40000000000000002,6,0.0022389106697313088,0.0022389106697313097,8.6736173798840355e-19,0.0018624719725605907,0.16813475511101794,0.0022419466869226814,0.0025918121932441912,1.0013560242632351,1.1576219758491897,0.031258912488771343
n6_linear_f0.4_d10.0,holdout,6,linear,0.40000000000000002,10,0.00056785919133983285,0.00056785919133983079,2.0599841277224584e-18,0.00040229394607308773,0.29156038643330134,0.00057027791793002388,0.00070091310278843797,1.0042593773722077,1.2343079296377579,0.066710147569354339
n6_linear_f0.8_d2.1,holdout,6,linear,0.80000000000000004,2.1000000000000001,0.089554895120870143,0.089554895120870073,6.9388939039072284e-17,0.086879159069881751,0.029878166317731113,0.089555718467741033,0.10187035685428623,1.0000091937673519,1.1375185769219458,0.0023421305279119641
n6_linear_f0.8_d2.5,holdout,6,linear,0.80000000000000004,2.5,0.053709474756439425,0.053709474756439383,4.163336342344337e-17,0.051493625097355229,0.04125621539090716,0.05371076081696563,0.061116354721090588,1.0000239447608095,1.1379063935784099,0.0038103463502601061
n6_linear_f0.8_d3.0,holdout,6,linear,0.80000000000000004,3,0.031607864889256015,0.031607864889255953,6.2450045135165055e-17,0.029799551560969452,0.057210866175942725,0.03160985123342009,0.035991661240529757,1.0000628433515233,1.1386932134338479,0.0062415444895673137
