record_type,candidate,scope,point_count,prefactor,exponent,rmse_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,spearman,reference_derived,value,recommendation
fold_fit,P1_eta,n4_linear,24,8.678320672583629,1.3497807543913967,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n2_pair,24,2.9038082378694181,1.2457273168209442,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n3_compact,24,4.5472396775520449,1.4086878855733089,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n3_irregular,24,4.8019850220253293,1.4088343827099998,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n3_linear,24,5.0626661936288437,1.411648124686588,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n4_compact,24,4.9288692695378202,1.4218455553918856,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n4_irregular,24,4.8649035797805285,1.4132581354018752,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P2_lambda_max,n4_linear,24,4.8978183049625423,1.4104821368952325,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n2_pair,24,8.6644792834914934,1.2769441060334463,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n3_compact,24,15.082734615064071,1.4355866216026709,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n3_irregular,24,16.14180680161525,1.447883002680308,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n3_linear,24,16.032732982652792,1.4442657854926839,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n4_compact,24,16.866081468323081,1.4531339979971021,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n4_irregular,24,16.490852117964778,1.4531219277997391,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P3_rho_l1,n4_linear,24,16.238275324204288,1.449085672013724,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P4_epsilon_a_d,n2_pair,24,2.4911443134349192,1.1257730450071008,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n3_compact,24,3.4608543748408089,1.2465802188902564,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n3_irregular,24,3.4287939357018948,1.2480101691103005,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n3_linear,24,3.3934808036493003,1.2414755197412664,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n4_compact,24,3.3747218773188776,1.2418307907200066,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n4_irregular,24,3.3212288055281252,1.2388353075238012,0,0,0,0,0,0,true,0,not_applicable
fold_fit,P4_epsilon_a_d,n4_linear,24,3.3006321032256443,1.234878581896921,0,0,0,0,0,0,true,0,not_applicable
descriptive_global_fit,P1_eta,all,28,8.4124115934192716,1.3357649944884706,0,0,0,0,0,0,false,0,not_applicable
descriptive_global_fit,P2_lambda_max,all,28,4.4964255121671126,1.3883601043764593,0,0,0,0,0,0,false,0,not_applicable
descriptive_global_fit,P3_rho_l1,all,28,14.73950709797405,1.4226504975598322,0,0,0,0,0,0,false,0,not_applicable
descriptive_global_fit,P4_epsilon_a_d,all,28,3.2416395799394651,1.2259217585309439,0,0,0,0,0,0,true,0,not_applicable
residual_spearman,particle_count,all_mechanism_applicable,26,0,0,0,0,0,0,0,0.034238906780446846,false,0,not_applicable
residual_spearman,f1,all_mechanism_applicable,26,0,0,0,0,0,0,0,-0.019882923849811086,false,0,not_applicable
residual_spearman,distance_ratio,all_mechanism_applicable,26,0,0,0,0,0,0,0,-0.85498090355877343,false,0,not_applicable
residual_spearman,rho_l1,all_mechanism_applicable,26,0,0,0,0,0,0,0,0.63829059829059831,false,0,not_applicable
residual_spearman,r_s_over_d,all_mechanism_applicable,26,0,0,0,0,0,0,0,0.3907692307692307,true,0,not_applicable
residual_spearman,r_m_over_d,all_mechanism_applicable,26,0,0,0,0,0,0,0,-0.66905982905982897,true,0,not_applicable
residual_spearman,mu_ds,all_mechanism_applicable,26,0,0,0,0,0,0,0,0.18308586153034234,true,0,not_applicable
residual_spearman,p_s,all_mechanism_applicable,26,0,0,0,0,0,0,0,-0.45846153846153842,true,0,not_applicable
residual_spearman,cancellation_ratio,all_mechanism_applicable,26,0,0,0,0,0,0,0,-0.67726495726495717,true,0,not_applicable
recommendation,t12_1,all,28,0,0,0,0,0,0,0,0,false,0,READY_T12_2_RHO1_RECALIBRATION_STUDY
