schema_version,campaign_id,manifest_sha256,case_order,case_id,classification,evidence_role,eligible,include_in_scientific_tables,metric,value,unit,applicable,reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,16,p1_dimer_ka005_fluid_f000_f1040_d1000_t000,confirmatory_new,primary,true,true,be_minus_a_rms,3.8228603579481928e-08,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,16,p1_dimer_ka005_fluid_f000_f1040_d1000_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.00012140919100499663,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,16,p1_dimer_ka005_fluid_f000_f1040_d1000_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,16,p1_dimer_ka005_fluid_f000_f1040_d1000_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,17,p1_dimer_ka005_fluid_f000_f1060_d0210_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.10037036987475612,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,17,p1_dimer_ka005_fluid_f000_f1060_d0210_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.22307811240770287,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,17,p1_dimer_ka005_fluid_f000_f1060_d0210_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,17,p1_dimer_ka005_fluid_f000_f1060_d0210_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,18,p1_dimer_ka005_fluid_f000_f1060_d0225_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.046973854555143524,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,18,p1_dimer_ka005_fluid_f000_f1060_d0225_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.15040921043685532,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,18,p1_dimer_ka005_fluid_f000_f1060_d0225_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,18,p1_dimer_ka005_fluid_f000_f1060_d0225_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,19,p1_dimer_ka005_fluid_f000_f1060_d0250_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.016926207144209712,a2e0,true,scientific_magnitude_not_a_gate
