schema_version,campaign_id,case_order,case_id,series_id,point_order,x_name,x_value,x_unit,y_name,y_value,y_unit,eligible,applicable,reason,annotation
1.0.0,p1_dimer_confirmatory_r2,46,p1_dimer_ka005_rigid_boundary_d0600_t000,ka=0.050000000000000003;material=rigid_boundary,46,distance_ratio,6,1,epsilon_a_e,0.0041085360611245987,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,47,p1_dimer_ka005_rigid_boundary_d0800_t000,ka=0.050000000000000003;material=rigid_boundary,47,distance_ratio,8,1,epsilon_a_e,0.00079205008960280389,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,48,p1_dimer_ka005_rigid_boundary_d1000_t000,ka=0.050000000000000003;material=rigid_boundary,48,distance_ratio,10,1,epsilon_a_e,0.00031706026376925338,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,49,p1_dimer_ka010_fluid_f000_f1010_d0210_t000,ka=0.10000000000000001;material=fluid_f000_f1010,49,distance_ratio,2.1000000000000001,1,epsilon_a_e,0.033145868584280237,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,50,p1_dimer_ka010_fluid_f000_f1010_d0225_t000,ka=0.10000000000000001;material=fluid_f000_f1010,50,distance_ratio,2.25,1,epsilon_a_e,0.021892983734392555,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,51,p1_dimer_ka010_fluid_f000_f1010_d0250_t000,ka=0.10000000000000001;material=fluid_f000_f1010,51,distance_ratio,2.5,1,epsilon_a_e,0.01176995224898173,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,52,p1_dimer_ka010_fluid_f000_f1010_d0300_t000,ka=0.10000000000000001;material=fluid_f000_f1010,52,distance_ratio,3,1,epsilon_a_e,0.0035153308521336914,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,53,p1_dimer_ka010_fluid_f000_f1010_d0400_t000,ka=0.10000000000000001;material=fluid_f000_f1010,53,distance_ratio,4,1,epsilon_a_e,0.0010835600811971594,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,54,p1_dimer_ka010_fluid_f000_f1010_d0600_t000,ka=0.10000000000000001;material=fluid_f000_f1010,54,distance_ratio,6,1,epsilon_a_e,0.0028819333333019019,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,55,p1_dimer_ka010_fluid_f000_f1010_d0800_t000,ka=0.10000000000000001;material=fluid_f000_f1010,55,distance_ratio,8,1,epsilon_a_e,0.0032793089137658528,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,56,p1_dimer_ka010_fluid_f000_f1010_d1000_t000,ka=0.10000000000000001;material=fluid_f000_f1010,56,distance_ratio,10,1,epsilon_a_e,0.0034249378562649846,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,57,p1_dimer_ka010_fluid_f000_f1040_d0210_t000,ka=0.10000000000000001;material=fluid_f000_f1040,57,distance_ratio,2.1000000000000001,1,epsilon_a_e,0.14531280364863911,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,58,p1_dimer_ka010_fluid_f000_f1040_d0225_t000,ka=0.10000000000000001;material=fluid_f000_f1040,58,distance_ratio,2.25,1,epsilon_a_e,0.09849508133930672,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,59,p1_dimer_ka010_fluid_f000_f1040_d0250_t000,ka=0.10000000000000001;material=fluid_f000_f1040,59,distance_ratio,2.5,1,epsilon_a_e,0.057678194719613531,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,60,p1_dimer_ka010_fluid_f000_f1040_d0300_t000,ka=0.10000000000000001;material=fluid_f000_f1040,60,distance_ratio,3,1,epsilon_a_e,0.024899516731976518,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,61,p1_dimer_ka010_fluid_f000_f1040_d0400_t000,ka=0.10000000000000001;material=fluid_f000_f1040,61,distance_ratio,4,1,epsilon_a_e,0.0069492197563727365,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,62,p1_dimer_ka010_fluid_f000_f1040_d0600_t000,ka=0.10000000000000001;material=fluid_f000_f1040,62,distance_ratio,6,1,epsilon_a_e,0.00015681949064627368,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
